cover_category,texture_score,requested_payload_bytes,method,image_id,width,height,payload_original_bytes,embedded_bits,total_bpp,embedding_success,extraction_success,ber,mse,psnr,ssim,changed_pixels,changed_pixel_ratio,maximum_change,embedding_seconds,extraction_seconds,failure_reason
Mixed,0.17898873441748,20000,GuardianPixel,0824.png,2040,1356,20000,146760,0.053053964948811386,True,True,0.0,0.008797501301405518,68.6872102111593,0.9999849031332707,72881,2.634659320955521,1,10.539250599977095,9.682585000002291,
Mixed,0.17898873441748,20000,Sequential Replacement,0824.png,2040,1356,20000,146760,0.053053964948811386,True,True,0.0,0.00884823201650375,68.66223858778199,0.9999043330409624,73429,2.654469604951125,1,0.0023073000484146178,7.299997378140688e-05,
Mixed,0.17898873441748,20000,Sequential Matching,0824.png,2040,1356,20000,146760,0.053053964948811386,True,True,0.0,0.00884823201650375,68.66223858778199,0.9999029311784403,73429,2.654469604951125,1,0.2323723000008613,0.029472399968653917,
Mixed,0.17898873441748,20000,Keyed Random Matching,0824.png,2040,1356,20000,146760,0.053053964948811386,True,True,0.0,0.008827264927603292,68.67254199855554,0.9999143626012366,73255,2.648179478280988,1,1.8178219000110403,1.670946400030516,
Mixed,0.17898873441748,20000,Canny Synchronous,0824.png,2040,1356,20000,146760,0.053053964948811386,True,False,0.4866312346688471,0.008815214876511076,68.67847457897268,0.999992780664987,73155,2.6445644629533227,1,0.28924069995991886,0.0822028000256978,BIT_ERRORS
Mixed,0.17898873441748,50000,GuardianPixel,0824.png,2040,1356,50000,352144,0.12730059575452599,True,True,0.0,0.021158925713845027,64.87586747050743,0.9999580958028712,175168,6.332350049164208,1,11.621687600039877,9.954721799993422,
Mixed,0.17898873441748,50000,Sequential Replacement,0824.png,2040,1356,50000,352144,0.12730059575452599,True,True,0.0,0.02121917596930611,64.8635184647375,0.9997623256186858,176092,6.3657527907918325,1,0.0023311999975703657,0.00032569997711107135,
Mixed,0.17898873441748,50000,Sequential Matching,0824.png,2040,1356,50000,352144,0.12730059575452599,True,True,0.0,0.02121917596930611,64.8635184647375,0.999759256090944,176092,6.3657527907918325,1,0.5619398999842815,0.09921090002171695,
Mixed,0.17898873441748,50000,Keyed Random Matching,0824.png,2040,1356,50000,352144,0.12730059575452599,True,True,0.0,0.02121411494784738,64.86455443138313,0.9997944010228258,176050,6.364234484354214,1,2.6400245999684557,2.225128100020811,
Mixed,0.17898873441748,50000,Canny Synchronous,0824.png,2040,1356,50000,352144,0.12730059575452599,False,False,,,,,,,,,,"ValueError: Capacity error: Insufficient edge capacity. Need 352144 bits, but only found 168985 edge pixels."
Mixed,0.2349741882832405,5000,GuardianPixel,0831.png,2040,1356,5000,40776,0.01474058650008676,True,True,0.0,0.0024692964698170322,74.20507125340212,0.9999954513767629,20474,0.7401382381861299,1,9.865621500008274,8.463186200009659,
Mixed,0.2349741882832405,5000,Sequential Replacement,0831.png,2040,1356,5000,40776,0.01474058650008676,True,True,0.0,0.002481587521931093,74.18350764138748,0.9999866952976012,20594,0.7444762565793279,1,0.0016577000496909022,2.7500034775584936e-05,
Mixed,0.2349741882832405,5000,Sequential Matching,0831.png,2040,1356,5000,40776,0.01474058650008676,True,True,0.0,0.002481587521931093,74.18350764138748,0.9999867805093473,20594,0.7444762565793279,1,0.07742689998121932,0.004545699979644269,
Mixed,0.2349741882832405,5000,Keyed Random Matching,0831.png,2040,1356,5000,40776,0.01474058650008676,True,True,0.0,0.0024784545086471168,74.18899408909712,0.9999816600981076,20568,0.743536352594135,1,1.422313800023403,1.3413464999757707,
Mixed,0.2349741882832405,5000,Canny Synchronous,0831.png,2040,1356,5000,40776,0.01474058650008676,True,False,0.4788110653325486,0.0024550774095282164,74.23015170722184,0.9999975088047154,20374,0.7365232228584648,1,0.13803869998082519,0.05980819999240339,BIT_ERRORS
Mixed,0.2349741882832405,20000,GuardianPixel,0831.png,2040,1356,20000,148320,0.05361790733992712,True,True,0.0,0.008922701332253648,68.62584004688483,0.9999841640279641,73928,2.6725085314361734,1,10.731700000003912,8.959134600008838,
