cover_category,texture_score,requested_payload_bytes,method,image_id,width,height,payload_original_bytes,embedded_bits,total_bpp,embedding_success,extraction_success,ber,mse,psnr,ssim,changed_pixels,changed_pixel_ratio,maximum_change,embedding_seconds,extraction_seconds,histogram_l1_mean,histogram_chi_square_mean,cover_lsb_chi_square_statistic,stego_lsb_chi_square_statistic,lsb_chi_square_statistic_change,absolute_lsb_chi_square_statistic_change,cover_rs_combined_imbalance,stego_rs_combined_imbalance,rs_combined_imbalance_change,absolute_rs_combined_imbalance_change,smooth_pixel_fraction,smooth_region_change_ratio,mean_modified_position_suitability,mean_image_suitability,suitability_gain,failure_reason
Textured,0.24325561911183932,2000,GuardianPixel,0854.png,2040,1068,2000,18320,0.008408606888448264,True,True,0.0,0.001412144133558542,76.63201334680097,0.9999975450782296,9228,0.4235514430491297,1,9.479536800005008,7.611414299986791,0.0004498053903209186,1.3403710229087315e-07,3892.3480159064884,3863.034897193542,-29.31311871294656,29.31311871294656,0.18508757435558493,0.18501413674083866,-7.343761474626342e-05,7.343761474626342e-05,0.25,0.056892067620286084,0.7969036102294922,0.32674673199653625,2.438903077500221,
Textured,0.24325561911183932,2000,Sequential Replacement,0854.png,2040,1068,2000,18320,0.008408606888448264,True,True,0.0,0.001391948789503317,76.69457103212073,0.9999845767565408,9098,0.41758463685099506,1,0.0013277999823912978,1.7400016076862812e-05,0.0002239847249761338,1.611722968686733e-07,3892.3480159064884,3887.6031467550893,-4.7448691513991434,4.7448691513991434,0.18508757435558493,0.18427425277226994,-0.0008133215833149854,0.0008133215833149854,0.25,1.0,0.02093440480530262,0.32674673199653625,0.06406920943749343,
Textured,0.24325561911183932,2000,Sequential Matching,0854.png,2040,1068,2000,18320,0.008408606888448264,True,True,0.0,0.001391948789503317,76.69457103212073,0.9999845092753538,9098,0.41758463685099506,1,0.04664070002036169,0.001815499970689416,0.00017778022569827032,7.860589390826205e-08,3892.3480159064884,3888.9881450132807,-3.359870893207699,3.359870893207699,0.18508757435558493,0.18402823676286995,-0.0010593375927149817,0.0010593375927149817,0.25,1.0,0.02093440480530262,0.32674673199653625,0.06406920943749343,
Textured,0.24325561911183932,2000,Keyed Random Matching,0854.png,2040,1068,2000,18320,0.008408606888448264,True,True,0.0,0.0014023524515923724,76.6622318279724,0.9999912145172264,9166,0.4207057354777117,1,1.283979100000579,1.2565537999616936,0.0002530537808132019,9.711130366051479e-08,3892.3480159064884,3865.14636635211,-27.20164955437849,27.20164955437849,0.18508757435558493,0.18463317911434235,-0.0004543952412425778,0.0004543952412425778,0.25,0.24852716561204452,0.3288007378578186,0.32674673199653625,1.0062862323021002,
Textured,0.24325561911183932,2000,Canny Synchronous,0854.png,2040,1068,2000,18320,0.008408606888448264,True,False,0.4942139737991266,0.0013956206702406306,76.68312967801089,0.9999985798828438,9122,0.4186862010721892,1,0.09755450004013255,0.05368140002246946,0.00020348339085946477,6.696481908854294e-08,3892.3480159064884,3889.9220339410463,-2.4259819654421335,2.4259819654421335,0.18508757435558493,0.1851224572225894,3.4882867004482065e-05,3.4882867004482065e-05,0.25,0.0,0.5154670476913452,0.32674673199653625,1.5775736900003932,BIT_ERRORS
Textured,0.24325561911183932,5000,GuardianPixel,0854.png,2040,1068,5000,40824,0.018737607402511566,True,True,0.0,0.00312063964162444,73.18836739812235,0.9999954393287308,20374,0.9351362267753544,1,12.44912549998844,7.787590299965814,0.0006545127414261638,4.97679333950788e-07,3892.3480159064884,3813.6853405894162,-78.66267531707217,78.66267531707217,0.18508757435558493,0.1849893515458618,-9.82228097231308e-05,9.82228097231308e-05,0.25,0.04147442819279474,0.8075029850006104,0.32674673199653625,2.4713421923655856,
Textured,0.24325561911183932,5000,Sequential Replacement,0854.png,2040,1068,5000,40824,0.018737607402511566,True,True,0.0,0.0031048811534601355,73.21035379667477,0.9999562522911513,20294,0.9314643460380406,1,0.002248200005851686,6.689998554065824e-05,0.0004357298474945537,5.523160481885382e-07,3892.3480159064884,3888.0059186750027,-4.342097231485695,4.342097231485695,0.18508757435558493,0.1829597194683117,-0.0021278548872732395,0.0021278548872732395,0.25,1.0,0.02186211571097374,0.32674673199653625,0.06690844489059952,
Textured,0.24325561911183932,5000,Sequential Matching,0854.png,2040,1068,5000,40824,0.018737607402511566,True,True,0.0,0.0031048811534601355,73.21035379667477,0.999955964329316,20294,0.9314643460380406,1,0.08121939998818561,0.007846899970900267,0.0002481579398301132,1.5208267643754582e-07,3892.3480159064884,3892.293689473231,-0.05432643325730169,0.05432643325730169,0.18508757435558493,0.1825117500183594,-0.0025758243372255296,0.0025758243372255296,0.25,1.0,0.02186211571097374,0.32674673199653625,0.06690844489059952,
Textured,0.24325561911183932,5000,Keyed Random Matching,0854.png,2040,1068,5000,40824,0.018737607402511566,True,True,0.0,0.0031318082788671024,73.17285193043504,0.9999802106601319,20470,0.9395424836601307,1,1.935355800029356,1.4577473000390455,0.000411556632640572,2.31865438470652e-07,3892.3480159064884,3849.189334774439,-43.15868113204942,43.15868113204942,0.18508757435558493,0.18401263126973635,-0.0010749430858485731,0.0010749430858485731,0.25,0.24846116267708843,0.32593196630477905,0.32674673199653625,0.9975064304797214,
Textured,0.24325561911183932,5000,Canny Synchronous,0854.png,2040,1068,5000,40824,0.018737607402511566,True,False,0.49299431706839114,0.0031405289956182225,73.16077553390878,0.9999967494138996,20527,0.9421586986854666,1,0.3360683000064455,0.1380302999750711,0.00032863332598957496,2.0073984627964478e-07,3892.3480159064884,3889.4737604813627,-2.874255425125739,2.874255425125739,0.18508757435558493,0.1851536682088566,6.609385327166484e-05,6.609385327166484e-05,0.25,0.0,0.5372899770736694,0.32674673199653625,1.6443622061363572,BIT_ERRORS
